ABBloodGroupTestResult,9_1_8655
AbdominalCavity,23_1_119
AbdominalCavity,23_1_120
AbdominalCavity,23_1_121
AbdominalCavity,23_1_122
AbdominalCavity,23_1_123
AbdominalCavity,23_1_124
AbdominalCavity,23_1_125
AbdominalCavity,23_1_126
AbdominalCavity,23_1_127
Epigastrium,NAMEDSurfaceSubpart
Epigastrium,23_1_16
Epigastrium,23_1_4529
Epigastrium,23_1_4530
Hypochondrium,NAMEDSurfaceSubpart
Hypochondrium,23_1_440
Hypogastrium,NAMEDSurfaceSubpart
Hypogastrium,23_1_16
IliacRegion,NAMEDSurfaceSubpart
IliacRegion,23_1_440
InguinalRegion,NAMEDTrunkBodyPart
InguinalRegion,23_1_14
InguinalRegion,23_1_440
Loin,NAMEDSurfaceSubpart
Loin,23_1_440
PubicArea,NAMEDSurfaceSubpart
SupraPubicRegion,NAMEDSurfaceSubpart
SupraPubicRegion,23_1_16
UmbilicalRegion,NAMEDSurfaceSubpart
UmbilicalRegion,23_1_16
AnatomicalSurfaceQuadrant,9_1_11169
Topology,Appearance
surfaceHollow,hollow
unpaired,PairedOrUnpairedStatus
Trunk,MajorBodyDivision
Trunk,23_1_16
Trunk,23_1_10726
Trunk,23_1_10727
Trunk,23_1_10728
Trunk,23_1_10729
Trunk,23_1_10730
AbdominalAorta,NAMEDSystemicArtery
AbdominalAorta,23_1_16
AbdominalAorta,23_1_18
AbdominalAorta,23_1_19
AbdominalAorta,23_1_20
AbdominalAorta,23_1_21
AbdominalAorta,23_1_22
AbdominalAorta,23_1_23
AbdominalAorta,23_1_24
AbdominalAorta,23_1_25
AbdominalAorta,23_1_26
AbdominalAorta,23_1_27
AbdominalAorta,23_1_28
AbdominalAorta,23_1_29
NAMEDSystemicArtery,BloodVesselOfSystemicCirculation
NAMEDSystemicArtery,NAMEDArtery
AdrenalArtery,NAMEDSystemicArtery
AdrenalArtery,23_1_419
AdrenalArtery,23_1_420
CeliacTrunk,NAMEDSystemicArtery
CeliacTrunk,23_1_16
CeliacTrunk,23_1_3019
CeliacTrunk,23_1_3020
CeliacTrunk,23_1_3021
CeliacTrunk,23_1_3022
CeliacTrunk,23_1_3023
CommonIliacArtery,IliacArtery
CommonIliacArtery,23_1_614
CommonIliacArtery,23_1_3376
CommonIliacArtery,23_1_3396
CommonIliacArtery,23_1_3397
InferiorMesentericArtery,9_1_4486
InferiorMesentericArtery,23_1_6033
InferiorMesentericArtery,23_1_6034
InferiorMesentericArtery,23_1_6035
InferiorMesentericArtery,23_1_6036
InferiorPhrenicArtery,NAMEDSystemicArtery
InferiorPhrenicArtery,23_1_419
InferiorPhrenicArtery,23_1_6045
LumbarArtery,NAMEDSystemicArtery
LumbarArtery,23_1_440
LumbarArtery,23_1_748
MedianSacralArtery,NAMEDSystemicArtery
MedianSacralArtery,23_1_16
OvarianArtery,NAMEDSystemicArtery
OvarianArtery,23_1_440
OvarianArtery,23_1_7986
RenalArtery,NAMEDSystemicArtery
RenalArtery,23_1_419
RenalArtery,23_1_9112
RenalArtery,23_1_9113
RenalArtery,23_1_9114
RenalArtery,23_1_9115
RenalArtery,23_1_9116
RenalArtery,23_1_9117
RenalArtery,23_1_9118
RenalArtery,23_1_9119
RenalArtery,23_1_9120
RenalArtery,23_1_9121
SuperiorMesentericArtery,9_1_7508
SuperiorMesentericArtery,23_1_10109
SuperiorMesentericArtery,23_1_10110
SuperiorMesentericArtery,23_1_10111
SuperiorMesentericArtery,23_1_10112
SuperiorMesentericArtery,23_1_10113
SuperiorMesentericArtery,23_1_10114
BifurcationOfAbdominalAorta,NAMEDJunction
BifurcationOfAbdominalAorta,23_1_16
BifurcationOfAbdominalAorta,23_1_2425
BifurcationOfAbdominalAorta,23_1_2426
BifurcationOfAbdominalAorta,23_1_2427
DescendingAorta,NAMEDSystemicArtery
DescendingAorta,23_1_16
DescendingAorta,23_1_3983
DescendingAorta,23_1_3984
DescendingAorta,23_1_3985
DescendingAorta,23_1_3986
AbdominalAorticAneurysm,9_1_855
VascularDilatationLesion,9_1_8374
AbdominalApproach,9_1_856
AbdominalApproach,23_1_32
Route,LinearStructure
AbdominalWall,9_1_881
AbdominalWall,23_1_155
AbdominalWall,23_1_156
AbdominalWall,23_1_157
AbdominalWall,23_1_158
AbdominalWall,23_1_159
AbdominalWall,23_1_160
AbdominalWall,23_1_161
AbdominalWall,23_1_162
AbdominalWall,23_1_163
AbdominalWall,23_1_164
AbdominalWall,23_1_165
AbdominalWall,23_1_166
AbdominalWall,23_1_167
anteriorSelection,AnteriorPosteriorPositionSelector
AbdominalBloating,NonnormalSensation
NonnormalSensation,9_1_1283
AbdominalBloatingSensation,InternalSensation
InternalSensation,Sensation
AbdominalBurningPain,9_1_10155
AbdominalPain,23_1_141
PainSymptomCharacter,SymptomCharacter
burningCharacter,PainSymptomCharacterState
AbstractCavity,9_1_13070
PeritonealCavity,9_1_6184
PeritonealCavity,23_1_8372
RetroperitonealSpace,NAMEDBodySpace
RetroperitonealSpace,23_1_74
RetroperitonealSpace,23_1_8372
RetroperitonealSpace,23_1_9201
RetroperitonealSpace,23_1_9202
RetroperitonealSpace,23_1_9203
RetroperitonealSpace,23_1_9204
AccessorySpleen,InternalOrgan
AccessorySpleen,23_1_204
AccessorySpleen,23_1_264
AccessorySpleen,23_1_265
AdrenalGland,NAMEDGland
AdrenalGland,23_1_430
AdrenalGland,23_1_431
AdrenalGland,23_1_433
AdrenalGland,23_1_434
AdrenalGland,23_1_435
AdrenalGland,23_1_436
AdrenalGland,23_1_437
AdrenalGland,23_1_438
AdrenalGland,23_1_439
AdrenalGland,23_1_440
AdrenalGland,23_1_441
AppendicularArtery,NAMEDSystemicArtery
AppendicularArtery,23_1_16
AppendicularArtery,23_1_1531
AscendingBranchOfLeftColicArtery,NAMEDSystemicArtery
AscendingBranchOfLeftColicArtery,23_1_16
AscendingBranchOfLeftColicArtery,23_1_254
BiliaryTract,NAMEDGITractBodyPart
BiliaryTract,23_1_2445
BiliaryTract,23_1_2446
BiliaryTract,23_1_2447
CaudalPancreaticArtery,NAMEDSystemicArtery
CaudalPancreaticArtery,23_1_16
CaudalPancreaticArtery,23_1_254
CaudalPancreaticArtery,23_1_1393
CecalArtery,NAMEDSystemicArtery
CecalArtery,23_1_254
CecalArtery,23_1_677
CoccygealGanglion,NAMEDGanglion
CoccygealGanglion,23_1_264
CoccygealGanglion,23_1_440
ColicBranch,NAMEDSystemicArtery
ColicBranch,23_1_16
ColicBranch,23_1_254
ColicVein,NAMEDSystemicVein
ColicVein,23_1_16
ColicVein,23_1_264
CommonHepaticArtery,NAMEDSystemicArtery
CommonHepaticArtery,23_1_16
CommonHepaticArtery,23_1_254
CommonHepaticArtery,23_1_3394
CommonHepaticArtery,23_1_3395
CysticArtery,NAMEDSystemicArtery
CysticArtery,23_1_16
CysticArtery,23_1_3833
DescendingBranchOfLeftColicArtery,NAMEDSystemicArtery
DescendingBranchOfLeftColicArtery,23_1_16
DescendingBranchOfLeftColicArtery,23_1_254
DescendingBranchOfLeftColicArtery,23_1_3987
DorsalPancreaticArtery,NAMEDSystemicArtery
DorsalPancreaticArtery,23_1_16
DorsalPancreaticArtery,23_1_254
DorsalPancreaticArtery,23_1_4249
DorsalPancreaticArtery,23_1_4250
GastricArtery,NAMEDSystemicArtery
GastricArtery,23_1_254
GastricArtery,23_1_419
GastroduodenalArtery,NAMEDSystemicArtery
GastroduodenalArtery,23_1_16
GastroduodenalArtery,23_1_254
GastroduodenalArtery,23_1_5339
GastroduodenalArtery,23_1_5340
GastroduodenalArtery,23_1_5341
GastroepiploicArtery,NAMEDSystemicArtery
GastroepiploicArtery,23_1_419
GastroepiploicArtery,23_1_5334
GastroepiploicVein,NAMEDSystemicVein
GastroepiploicVein,23_1_16
GastroepiploicVein,23_1_264
GreatPancreaticArtery,NAMEDSystemicArtery
GreatPancreaticArtery,23_1_16
GreatPancreaticArtery,23_1_254
GreatPancreaticArtery,23_1_1393
HepaticArtery,NAMEDSystemicArtery
HepaticArtery,23_1_254
IlealBranch,NAMEDSystemicArtery
IlealBranch,23_1_16
IlealBranch,23_1_5901
IlealVein,NAMEDSystemicVein
IlealVein,23_1_16
IlealVein,23_1_264
IleocolicArtery,NAMEDSystemicArtery
IleocolicArtery,23_1_16
IleocolicArtery,23_1_254
IleocolicArtery,23_1_5910
IleocolicArtery,23_1_5911
IlioLumbarArtery,NAMEDSystemicArtery
IlioLumbarArtery,23_1_254
IlioLumbarArtery,23_1_440
InferiorEpigastricArtery,NAMEDSystemicArtery
InferiorEpigastricArtery,23_1_254
InferiorEpigastricArtery,23_1_440
InferiorEpigastricArtery,23_1_748
InferiorEpigastricVein,NAMEDSystemicVein
InferiorEpigastricVein,23_1_264
InferiorEpigastricVein,23_1_440
InferiorEpigastricVein,23_1_748
InferiorPancreaticArtery,NAMEDSystemicArtery
InferiorPancreaticArtery,23_1_16
InferiorPancreaticArtery,23_1_254
InferiorPancreaticArtery,23_1_6042
InfraHepaticInferiorVenaCava,9_1_8880
IntermediateHepaticArtery,NAMEDSystemicArtery
IntermediateHepaticArtery,23_1_16
IntermediateHepaticArtery,23_1_5706
IntestinalArtery,NAMEDSystemicArtery
IntestinalArtery,23_1_254
IntestinalArtery,23_1_612
IntestinalArtery,23_1_6265
Intestine,NAMEDGITractBodyPart
Intestine,23_1_264
Intestine,23_1_5355
Intestine,23_1_6275
Intestine,23_1_6276
Intestine,23_1_6277
IntraAbdominalPartOfInferiorVenaCava,9_1_8885
JejunumToIleum,NAMEDGITractBodyPart
JejunumToIleum,23_1_5298
JejunumToIleum,23_1_6417
JejunumToIleum,23_1_6418
Kidney,InternalOrgan
Kidney,23_1_2895
Kidney,23_1_6454
Kidney,23_1_6455
Kidney,23_1_6456
Kidney,23_1_6457
Kidney,23_1_6458
Kidney,23_1_6459
Kidney,23_1_6460
Kidney,23_1_6461
Kidney,23_1_6462
Kidney,23_1_6463
Kidney,23_1_6464
LeftColicArtery,NAMEDSystemicArtery
LeftColicArtery,23_1_16
LeftColicArtery,23_1_254
LeftColicArtery,23_1_6676
LeftColicArtery,23_1_6677
LeftGastricVein,NAMEDSystemicVein
LeftGastricVein,23_1_16
LeftGastricVein,23_1_254
LeftGastricVein,23_1_264
LeftGastricVein,23_1_6686
LeftHepaticArtery,NAMEDSystemicArtery
LeftHepaticArtery,23_1_16
LeftHepaticArtery,23_1_6695
Liver,InternalOrgan
Liver,23_1_2437
Liver,23_1_6874
Liver,23_1_6875
Liver,23_1_6876
Liver,23_1_6877
LumbarGanglion,NAMEDGanglion
LumbarGanglion,23_1_264
LumbarGanglion,23_1_440
LumbarUreter,9_1_5120
MeckelDiverticulum,NAMEDGITractBodyPart
MeckelDiverticulum,23_1_204
MesentericArtery,NAMEDSystemicArtery
MesentericArtery,23_1_254
MesentericArtery,23_1_677
MiddleColicArtery,NAMEDSystemicArtery
MiddleColicArtery,23_1_16
MiddleColicArtery,23_1_254
MiddleRectalVein,RectalVein
MiddleRectalVein,23_1_264
MiddleRectalVein,23_1_440
Pancreas,InternalOrgan
Pancreas,23_1_4309
Pancreas,23_1_4310
Pancreas,23_1_4486
Pancreas,23_1_8069
Pancreas,23_1_8070
Pancreas,23_1_8071
Pancreas,23_1_8072
Pancreas,23_1_8073
Pancreas,23_1_8074
PancreaticoduodenalArtery,NAMEDSystemicArtery
PancreaticoduodenalArtery,23_1_254
PancreaticoduodenalArtery,23_1_2732
PancreaticoduodenalVein,NAMEDSystemicVein
PancreaticoduodenalVein,23_1_16
PancreaticoduodenalVein,23_1_264
ParsAbdominalisEsophagi,NAMEDGITractBodyPart
ParsAbdominalisEsophagi,23_1_264
ParsAbdominalisEsophagi,23_1_8131
PrevertebralGanglion,NAMEDGanglion
PrevertebralGanglion,23_1_264
PrevertebralGanglion,23_1_440
ProperHepaticArtery,NAMEDSystemicArtery
ProperHepaticArtery,23_1_16
ProperHepaticArtery,23_1_8777
ProperHepaticArtery,23_1_8778
ProperHepaticArtery,23_1_8779
RectoSigmoidArtery,NAMEDSystemicArtery
RectoSigmoidArtery,23_1_612
RenalAnteriorInferiorSegmentalArtery,NAMEDSystemicArtery
RenalAnteriorInferiorSegmentalArtery,23_1_440
RenalAnteriorInferiorSegmentalArtery,23_1_9111
RenalAnteriorSegmentalArtery,NAMEDSystemicArtery
RenalAnteriorSegmentalArtery,23_1_440
RenalAnteriorSegmentalArtery,23_1_9111
RenalAnteriorSuperiorSegmentalArtery,NAMEDSystemicArtery
RenalAnteriorSuperiorSegmentalArtery,23_1_440
RenalAnteriorSuperiorSegmentalArtery,23_1_9111
RenalInferiorSegmentalArtery,NAMEDSystemicArtery
RenalInferiorSegmentalArtery,23_1_440
RenalInferiorSegmentalArtery,23_1_9111
RenalInferiorSupraRenalArtery,NAMEDSystemicArtery
RenalInferiorSupraRenalArtery,23_1_420
RenalInferiorSupraRenalArtery,23_1_440
RenalPelvicAndUretericBranches,NAMEDSystemicArtery
RenalPosteriorSegmentalArtery,NAMEDSystemicArtery
RenalPosteriorSegmentalArtery,23_1_440
RenalPosteriorSegmentalArtery,23_1_9111
RenalSuperiorSegmentalArtery,NAMEDSystemicArtery
RenalSuperiorSegmentalArtery,23_1_440
RenalSuperiorSegmentalArtery,23_1_9111
RenalVein,NAMEDSystemicVein
RenalVein,23_1_264
RenalVein,23_1_440
RetrocavalUreter,SegmentOfUreter
RightColicArtery,NAMEDSystemicArtery
RightColicArtery,23_1_16
RightColicArtery,23_1_254
RightGastricVein,NAMEDSystemicVein
RightGastricVein,23_1_16
RightGastricVein,23_1_264
RightHepaticArtery,NAMEDSystemicArtery
RightHepaticArtery,23_1_16
RightHepaticArtery,23_1_5706
RightHepaticArtery,23_1_9280
ShortGastricVein,NAMEDSystemicVein
ShortGastricVein,23_1_16
ShortGastricVein,23_1_264
SigmoidArtery,NAMEDSystemicArtery
SigmoidArtery,23_1_612
SigmoidVein,NAMEDSystemicVein
SigmoidVein,23_1_16
SigmoidVein,23_1_264
Spleen,InternalOrgan
Spleen,23_1_2594
Spleen,23_1_3009
Spleen,23_1_9923
SplenicArtery,NAMEDSystemicArtery
SplenicArtery,23_1_16
SplenicArtery,23_1_8573
SplenicArtery,23_1_9924
SplenicArtery,23_1_9925
SplenicArtery,23_1_9926
SplenicArtery,23_1_9927
Stomach,NAMEDGITractBodyPart
Stomach,23_1_3009
Stomach,23_1_9977
Stomach,23_1_9978
Stomach,23_1_9979
Stomach,23_1_9980
Stomach,23_1_9981
Stomach,23_1_9982
Stomach,23_1_9983
Stomach,23_1_9984
Stomach,23_1_9985
Stomach,23_1_9986
Stomach,23_1_9987
Stomach,23_1_9988
Stomach,23_1_9989
Stomach,23_1_9990
Stomach,23_1_9991
Stomach,23_1_9992
StomachToDuodenum,NAMEDGITractBodyPart
StomachToDuodenum,23_1_5298
StomachToDuodenum,23_1_9788
StomachToDuodenum,23_1_9994
StomachToDuodenum,23_1_9995
StomachToJejunum,NAMEDGITractBodyPart
StomachToJejunum,23_1_5297
StomachToJejunum,23_1_5298
StomachToJejunum,23_1_6418
SuperficialEpigastricArtery,NAMEDSystemicArtery
SuperficialEpigastricArtery,23_1_240
SuperficialEpigastricArtery,23_1_242
SuperiorEpigastricArtery,NAMEDSystemicArtery
SuperiorEpigastricArtery,23_1_254
SuperiorEpigastricArtery,23_1_440
SuperiorEpigastricArtery,23_1_748
SuperiorRectalArtery,RectalArtery
SuperiorRectalArtery,23_1_16
SuperiorRectalVein,RectalVein
SuperiorRectalVein,23_1_16
SuperiorRectalVein,23_1_264
SupraduodenalArtery,NAMEDSystemicArtery
SupraduodenalArtery,23_1_16
SupraduodenalArtery,23_1_1392
SuprarenalVein,NAMEDSystemicVein
SuprarenalVein,23_1_264
SuprarenalVein,23_1_440
UmbilicalArtery,NAMEDSystemicArtery
UmbilicalArtery,23_1_254
UmbilicalArtery,23_1_440
UmbilicalArtery,23_1_10793
UmbilicalArtery,23_1_10794
UmbilicalLigament,NAMEDLigament
UmbilicalLigament,23_1_264
UmbilicalLigament,23_1_10797
UmbilicalLigament,23_1_10798
Urachus,NAMEDLigament
Urachus,23_1_264
Urachus,23_1_10847
Urachus,23_1_10848
Urachus,23_1_10849
Urachus,23_1_10850
AorticLymphnode,9_1_1709
AorticLymphnode,23_1_16
AorticLymphnode,23_1_1489
CavalLymphnode,9_1_2515
CavalLymphnode,23_1_16
CavalLymphnode,23_1_1489
CysticLymphnode,9_1_3053
CysticLymphnode,23_1_16
CysticLymphnode,23_1_1489
HepaticLymphnode,9_1_4250
HepaticLymphnode,23_1_16
HepaticLymphnode,23_1_1489
LumbarLymphnode,9_1_5112
LumbarLymphnode,23_1_440
LumbarLymphnode,23_1_1489
AbdominalColic,9_1_859
IntestinalMuscleSpasm,9_1_4623
AbdominalColicSymptom,9_1_860
SymptomRole,SignOrSymptomRole
AbdominalContent,9_1_861
SolidStructure,PhysicalStructure
AbdominalCramp,9_1_862
AbdominalCrampSymptom,9_1_863
AbdominalDermatome,9_1_864
Dermatome,PieceOfSkinOrgan
Dermatome,23_1_1205
AbdominalDisorder,9_1_865
PathologicalPhenomenon,9_1_6053
PathologicalPhenomenon,23_1_206
AnatomyWithinAbdominalCavity,9_1_1160
AbdominalExamination,9_1_10177
ClinicalAct,NAMEDVolitionalAct
ExaminingProcess,CharacterisingProcess
AbdominalFistula,9_1_867
Fistula,BodyConnection
Fistula,23_1_534
AbdominalSkin,9_1_877
AbdominalSkin,23_1_146
AbdominalSkin,23_1_147
AbdominalSkin,23_1_148
AbdominalSkin,23_1_149
AbdominalSkin,23_1_150
AbdominalIncisionalHernia,9_1_868
HerniaLesion,9_1_4260
SurgicalAbdominalWallIncision,9_1_10465
AbdominalLymphnode,9_1_869
Lymphnode,GenericInternalStructure
Lymphnode,23_1_782
Lymphnode,23_1_7000
AbdominalMigraine,Migraine
AbdominalMigraine,23_1_137
AbdominalMigraine,23_1_138
Migraine,NAMEDDisorder
Migraine,23_1_367
Migraine,23_1_508
Migraine,23_1_2808
Migraine,23_1_7417
Migraine,23_1_7418
UnilateralHeadache,9_1_8185
AbdominalMuscle,9_1_870
Muscle,GenericInternalStructure
Muscle,23_1_7493
ExternalStimulusSensation,Sensation
PainSignal,9_1_12567
NerveConduction,9_1_5565
NerveConduction,23_1_3406
Displacement,LinearStructure
DigestiveSystemPathology,9_1_3185
AbdominalPainSymptom,9_1_872
AbdominalPeritoneum,9_1_873
PartOfPeritoneum,9_1_5982
AbdominalPregnancyProcess,9_1_10409
AbdominalPregnancyProcess,23_1_143
Pregnancy,NAMEDReproductiveProcess
Pregnancy,23_1_3924
Pregnancy,23_1_8737
Conceptus,ProductOfConception
Conceptus,23_1_3556
Conceptus,23_1_3557
Conceptus,23_1_3558
Conceptus,23_1_3559
Conceptus,23_1_3560
Conceptus,23_1_3561
Conceptus,23_1_3562
pathological,PathologicalOrPhysiologicalStatus
AbdominalReflex,9_1_875
ReflexMuscleContractionProcess,9_1_6685
AbdominalSign,9_1_876
Sign,9_1_7137
SkinCovering,9_1_12521
SkinCovering,23_1_9529
SkinCovering,23_1_9661
SkinCovering,23_1_9662
SkinCovering,23_1_9663
SkinCovering,23_1_9664
T10Dermatome,Dermatome
T10Dermatome,23_1_1165
T10Dermatome,23_1_10282
T10Dermatome,23_1_10283
T11Dermatome,Dermatome
T11Dermatome,23_1_1072
T11Dermatome,23_1_10282
T11Dermatome,23_1_10283
T12Dermatome,Dermatome
T12Dermatome,23_1_1191
T12Dermatome,23_1_6530
T12Dermatome,23_1_10282
T8Dermatome,Dermatome
T8Dermatome,23_1_1206
T8Dermatome,23_1_10282
T8Dermatome,23_1_10283
T9Dermatome,Dermatome
T9Dermatome,23_1_1010
T9Dermatome,23_1_10282
T9Dermatome,23_1_10283
AbdominalSmoothMuscleStructure,9_1_8756
BodyStructure,OrganicSolidStructure
SmoothMuscleTissue,MuscleTissue
AbdominalStraining,VoluntaryMovementOfAbdomen
VoluntaryMovementOfAbdomen,9_1_8546
AbdominalSurfaceRegion,9_1_878
AbdominalSwellingSymptom,9_1_879
SwellingSymptom,9_1_7726
AbdominalSymptom,9_1_880
Symptom,9_1_7731
Symptom,23_1_10224
BodyWall,9_1_2250
ExternalObliqueMuscleOfAbdomen,NAMEDStriatedMuscle
ExternalObliqueMuscleOfAbdomen,23_1_4689
InternalObliqueMuscleOfAbdomen,NAMEDStriatedMuscle
InternalObliqueMuscleOfAbdomen,23_1_4689
PyramidalisMuscle,NAMEDStriatedMuscle
PyramidalisMuscle,23_1_4689
RectusAbdominisMuscle,NAMEDStriatedMuscle
RectusAbdominisMuscle,23_1_4689
TransversusAbdominisMuscle,NAMEDStriatedMuscle
TransversusAbdominisMuscle,23_1_4689
TransversusAbdominisMuscle,23_1_10681
DeepCircumflexIliacArtery,NAMEDSystemicArtery
DeepCircumflexIliacArtery,23_1_198
DeepCircumflexIliacArtery,23_1_440
DeepCircumflexIliacArtery,23_1_748
DeepCircumflexIliacVein,NAMEDSystemicVein
DeepCircumflexIliacVein,23_1_440
DeepCircumflexIliacVein,23_1_748
LumbarVein,NAMEDSystemicVein
LumbarVein,23_1_440
LumbarVein,23_1_748
SuperiorEpigastricVein,NAMEDSystemicVein
SuperiorEpigastricVein,23_1_748
PosteriorIntercostalArtery,IntercostalArtery
EleventhIntercostalSpace,IntercostalSpace
EleventhIntercostalSpace,23_1_4448
EleventhIntercostalSpace,23_1_4449
TenthIntercostalSpace,IntercostalSpace
TenthIntercostalSpace,23_1_4448
TenthIntercostalSpace,23_1_7703
PosteriorIntercostalVein,IntercostalVein
AbdominalWallOfInguinalCanal,WallOfInguinalCanal
WallOfInguinalCanal,9_1_8574
AbducensNerve,CranialNerve
CranialNerve,NAMEDNerve
CranialNerve,23_1_440
CranialNerve,23_1_1486
CranialNerve,23_1_3752
MovingRotating,Repositioning
Eyeball,NAMEDSensoryPart
Eyeball,23_1_1358
Eyeball,23_1_2802
Eyeball,23_1_3607
Eyeball,23_1_4726
Eyeball,23_1_4727
Eyeball,23_1_4728
Eyeball,23_1_4729
Eyeball,23_1_4730
Eyeball,23_1_4731
Eyeball,23_1_4732
Eyeball,23_1_4733
Eyeball,23_1_4734
Eyeball,23_1_4735
Eyeball,23_1_4736
Eyeball,23_1_4737
Eyeball,23_1_4738
Eyeball,23_1_4739
Eyeball,23_1_4740
Eyeball,23_1_4741
Eyeball,23_1_4742
Eyeball,23_1_4743
Eyeball,23_1_4744
Eyeball,23_1_4745
AbducensNerveExamination,9_1_10178
Abduction,HingeArticulationProcess
HingeArticulationProcess,ArticulationProcess
AbductionOfArm,9_1_888
Arm,ExtremityLongPart
Arm,23_1_1556
Arm,23_1_1557
Arm,23_1_1558
Arm,23_1_1559
Arm,23_1_1560
Arm,23_1_1561
Arm,23_1_1562
Arm,23_1_1563
Arm,23_1_1564
Arm,23_1_1565
Arm,23_1_1566
Arm,23_1_1567
Arm,23_1_1568
Arm,23_1_1569
Arm,23_1_1570
Arm,23_1_1571
Arm,23_1_1572
Arm,23_1_1573
Arm,23_1_1574
Arm,23_1_1575
AbductionOfGlenoHumeralJoint,9_1_889
GlenoHumeralJoint,NAMEDJoint
GlenoHumeralJoint,23_1_5411
GlenoHumeralJoint,23_1_5413
GlenoHumeralJoint,23_1_5414
GlenoHumeralJoint,23_1_5415
AbductionOfHumerus,9_1_890
Humerus,LongBone
Humerus,23_1_5819
AbductionOfShoulder,9_1_891
Shoulder,BodyJunctionalBodyPart
Shoulder,23_1_300
Shoulder,23_1_302
Shoulder,23_1_1575
Shoulder,23_1_1790
Shoulder,23_1_2901
Shoulder,23_1_2902
Shoulder,23_1_2903
Shoulder,23_1_5413
Shoulder,23_1_9579
Shoulder,23_1_9580
Shoulder,23_1_9581
Shoulder,23_1_9582
Shoulder,23_1_9583
Shoulder,23_1_9584
Shoulder,23_1_9585
Shoulder,23_1_9586
Shoulder,23_1_9587
Shoulder,23_1_9588
Shoulder,23_1_9589
Shoulder,23_1_9590
Shoulder,23_1_9591
AbductionOfUpperExtremity,9_1_892
UpperExtremity,9_1_8206
UpperExtremity,23_1_10507
